,State,Year,Household_Size,Income_Level
868,MI,2019,5,30170
869,MI,2019,6,34590
870,MI,2019,7,39010
871,MI,2019,8,43430
872,MI,2020,1,12760
873,MI,2020,2,17240
874,MI,2020,3,21720
875,MI,2020,4,26200
876,MI,2020,5,30680
877,MI,2020,6,35160
878,MI,2020,7,39640
879,MI,2020,8,44120
880,MN,2016,1,11880
881,MN,2016,2,16020
882,MN,2016,3,20160
883,MN,2016,4,24300
884,MN,2016,5,28440
885,MN,2016,6,32580
886,MN,2016,7,36730
887,MN,2016,8,40890
888,MN,2017,1,12060
889,MN,2017,2,16240
890,MN,2017,3,20420
891,MN,2017,4,24600
892,MN,2017,5,28780
893,MN,2017,6,32960
894,MN,2017,7,37140
895,MN,2017,8,41320
896,MN,2018,1,12140
897,MN,2018,2,16460
898,MN,2018,3,20780
899,MN,2018,4,25100
900,MN,2018,5,29420
901,MN,2018,6,33740
902,MN,2018,7,38060
903,MN,2018,8,42380
904,MN,2019,1,12490
905,MN,2019,2,16910
906,MN,2019,3,21330
907,MN,2019,4,25750
908,MN,2019,5,30170
909,MN,2019,6,34590
910,MN,2019,7,39010
911,MN,2019,8,43430
912,MN,2020,1,12760
913,MN,2020,2,17240
914,MN,2020,3,21720
915,MN,2020,4,26200
916,MN,2020,5,30680
917,MN,2020,6,35160
918,MN,2020,7,39640
919,MN,2020,8,44120
920,MS,2016,1,11880
921,MS,2016,2,16020
922,MS,2016,3,20160
923,MS,2016,4,24300
924,MS,2016,5,28440
925,MS,2016,6,32580
926,MS,2016,7,36730
927,MS,2016,8,40890
928,MS,2017,1,12060
929,MS,2017,2,16240
930,MS,2017,3,20420
931,MS,2017,4,24600
932,MS,2017,5,28780
933,MS,2017,6,32960
934,MS,2017,7,37140
935,MS,2017,8,41320
936,MS,2018,1,12140
937,MS,2018,2,16460
938,MS,2018,3,20780
939,MS,2018,4,25100
940,MS,2018,5,29420
941,MS,2018,6,33740
942,MS,2018,7,38060
943,MS,2018,8,42380
944,MS,2019,1,12490
945,MS,2019,2,16910
946,MS,2019,3,21330
947,MS,2019,4,25750
948,MS,2019,5,30170
949,MS,2019,6,34590
950,MS,2019,7,39010
951,MS,2019,8,43430
952,MS,2020,1,12760
953,MS,2020,2,17240
954,MS,2020,3,21720
955,MS,2020,4,26200
956,MS,2020,5,30680
957,MS,2020,6,35160
958,MS,2020,7,39640
959,MS,2020,8,44120
960,MO,2016,1,11880
961,MO,2016,2,16020
962,MO,2016,3,20160
963,MO,2016,4,24300
964,MO,2016,5,28440
965,MO,2016,6,32580
966,MO,2016,7,36730
967,MO,2016,8,40890
968,MO,2017,1,12060
969,MO,2017,2,16240
970,MO,2017,3,20420
971,MO,2017,4,24600
972,MO,2017,5,28780
973,MO,2017,6,32960
974,MO,2017,7,37140
975,MO,2017,8,41320
976,MO,2018,1,12140
977,MO,2018,2,16460
978,MO,2018,3,20780
979,MO,2018,4,25100
980,MO,2018,5,29420
